title,hymn_key
A la Sombra de la Cruz,Fa mayor
Al Mundo Mandame,Sib menor
Al Señor Seamos Fieles,Lab mayor
Aleluya Gloria a Cristo,Fa mayor
Amor de Dios,Sol mayor
Aún de Noche,Re mayor
"Cerca, más Cerca",Reb mayor
Contempla a Dios,Do mayor
Cordero de gloria,Sol menor
Cristo Sostendrá,La mayor
Cuan Grande es Él,Sib mayor
Digno de Honor,Sol mayor
El Profundo Amor de Cristo,Mi menor
Fue por Mí,Sol menor
La noticia sin igual,Re mayor
Manos Cariñosas,Desconocido
Maravillosa Gracia,Do mayor
Maravilloso es el Gran Amor,Sol mayor
No Cambiará,Mib mayor
Noche de Paz,Sib mayor
Obra Maestra,Fa mayor
"Oh Ven, Bendito Emanuel",Mi menor
Prefiero a Cristo,Do mayor >
Que Bella Historia,Fa mayor
Regocijate en Él,Mib mayor
Santa la Noche,Do mayor
"Santo, Santo, Santo",Re mayor
Se Oye un Son en Alta Esfera,Fa mayor
Señor Jesús la Luz del Sol se Fue,Mib mayor
Su Manto por el Mío,Re mayor
Tengo Ante el Trono,Re mayor
Ven a las Aguas,Mib mayor
"Venid, Fieles Todos",Sol mayor
"¿Viste Tú?",Mib mayor
Ángeles Cantando Están,Fa mayor
Te Loamos oh Dios,Sol mayor
